Name,Password,Email,Userrole,Premiumpackage,Contactsleft,Userimage,Profileid,Gender,Dob,Hight,Weight,Complexion,Bodytype,Maritalstatus,Noofchildren,Physicalstatus,Mothertongue,Nativeplace,Bloodgroup,Profilecreatedfor,Religion,Caste,Star,Jathakam,Educationcategory,Educationtype,Occupation,Occupationtype,Jobcountry,Jobstate,Jobdistrict,Jobcity,Anualincome,Residenceaddr,Userlocation,Phonenumber,Whatsapp,Prefferedcontact,Prefferedcontactpersonname,Prefferedcontactrelaion,Fathername,Fathereducation,Fatheroccupation,Fatheroccupationdetail,Mothername,Mothereducation,Motheroccupation,Motheroccupationdetail,Noofmarriedbrothers,Noofmarriedsisters,Noofunmarriedbrothers,Noofunmarriedsisters,Familytype,Familyvalue,Financialstatus,Userownerof,Eatinghabbits,Drinkinghabbits,Somkinghabbits,Languegesknow,Hobbies,Intrests,Minage,Maxage,Minheight,Maxheight,Pcomplexion,Pbodytype,Pmaritalstatus,Pphysicalstatus,Pfamilystatus,Preligion,Pcaste,Pstar,Pjaathakam,Peducationcategory,Poccupation,Panualincome,Pcountry,Pstate,Pdistrict,Lookingfor,About
DONNA JOY,defpass123,EKM500010@email.com,user,free,0,,EKM500010,Female,30 /18-06-1991,5 ft 5 in - 165 cm,52 kg,Medium,Slim,UnMarried,0,Normal,Malayalam,Ernakulam,O+ve,Siblings,Christian,Latin Catholic,moolam,shudhajathakam,Bachelors,Graduation,Private Bank,Associate Director in movies,Freelance,India,Freelance,India,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565633.0,9995050002.0,DONNA JOY,uncle,Joy Mathew,Graduation,Ex-Nri,Ex-Nri,Pouly Joy,Graduation,Housewife,Housewife,1,1,2,2,Joint family,Moderate,MiddleClass,bike,Non Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,156 cm,170 cm,Medium,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,moolam,shudhajathakam,Graduation,Ex-Nri,,Aruba,tamilnadu,Malappuram,orthodox familyand lovable ,"She is an independent woman who is ambitious and career oriented, who is passionate about directing movies. Currently working as Associate Director. Her graduation was in Visual Communication after which she pursued her career in event management and later ventured into film industry after her Masters. She loves travelling and is also a foodie. She is a fun loving person and is always cheerful."
ELIZABETH TENY THOMAS,defpass123,EKM500011@email.com,user,free,0,,EKM500011,male,33 /16-08-1988,5 ft 1 in - 154 cm,68 kg,Moderate Fair,Average,UnMarried,0,Normal,Malayalam,Arthunkal,A+ve,Self,Christian,Latin Catholic,uthradam,chovadosham,Diploma,M.Com,Retired,Assistant Professor on Contract,Kerala University Study and Research Centre Alpy,Alleppey,Kerala University Study and Research Centre Alpy,Alleppey,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565634.0,9995050003.0,ELIZABETH TENY THOMAS,brother,Thomas Antony,M.Com,Photographer,Photographer,Annie Thomas,M.Com,Retired State Government Employee.,Retired State Government Employee.,0,0,1,0,Nuclear family,Moderate,MiddleClass,"house,car",Eggetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,161 cm,165 cm,Moderate Fair,Average,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,uthradam,chovadosham,M.Com,Photographer,,Australia,kerala, Kozhikode,"simple family,goodlooking girl",Spiritual
MEERA JOSEPH,defpass123,EKM500012@email.com,user,free,0,,EKM500012,Female,30 /25-09-1991,5 ft 1 in - 154 cm,47 kg,Medium,Slim,Divorcee,0,Normal,Malayalam,Alappuzha,O+ve,Parents,Christian,Latin Catholic,thiruvonam,shudhajathakam,Trade School / TTC / ITI,B.Tech,Scheduled Bank,Presales Consultant ,Tech Mahindra - Bangalore,Bangalore,Tech Mahindra - Bangalore,Bangalore,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565635.0,9995050004.0,MEERA JOSEPH,sister,Varghese Joseph,B.Tech,Rtd. Bank Manager,,Jaya V Joseph,B.Tech,Lp School Headmistress,,1,1,0,0,Joint family,Liberal,MiddleClass,bike,Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,150 cm,170 cm,Medium,Slim,Divorcee,Normal,MiddleClass,Christian,Latin Catholic,thiruvonam,shudhajathakam,B.Tech,Rtd. Bank Manager,,Austria,tamilnadu,Wayanad,orthodox familyand lovable ,"My daughter is an Engineering graduate. Currently working at Tech Mahindra (Bangalore) as a Lead-Presales/Bid Management professional, with over 8 years of work experience. She is a God fearing, family oriented, well mannered and fun loving person. She is proficient in Malayalam & English. Can also converse in Hindi & Tamil. Divorce was filed by my daughter on grounds of abnormal behavioral issues & harassment from the guy. Divorce granted by Bangalore Family Court. Awaiting annulment of marriage from Church very soon."
LIMNA DSILVA,defpass123,EKM500013@email.com,user,free,0,,EKM500013,male,31 /17-04-1990,5 ft 5 in - 165 cm,53 kg,Medium,Slim,UnMarried,0,Normal,Malayalam,Kochi,O+ve,Parents,Christian,Latin Catholic,chothi,chovadosham,Higher Secondary / Plus Two,MCA,Self Employed,"IT Analyst, TCS, Kochi","TCS (Tata Consultancy Services), Kochi",Ernakulam,"TCS (Tata Consultancy Services), Kochi",Ernakulam,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565636.0,9995050001.0,LIMNA DSILVA,parent,Dencil Dsilva,MCA,Running Own Automobile Engineering Workshop At Kochi City.,,Shery Dsilva,MCA,House Wife,,1,1,0,0,Nuclear family,Moderate,Upper Middle Class,"house,car",Non Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,160 cm,165 cm,Medium,Slim,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,chothi,chovadosham,MCA,Running Own Automobile Engineering Workshop At Kochi City.,9 lakhs-10 lakhs Indian Rupee,Azerbaijan,kerala,Kannur,"simple family,goodlooking girl","Our daughter is working as IT Analyst at TCS, Kochi. She has completed her MCA from SCMS, Cochin. She is very caring, honest, hardworking and ambitious person. We strongly believe in God and give importance to family and moral values."
DR.ANNIE BASENT,defpass123,EKM500014@email.com,user,free,0,,EKM500014,Female,33 /01-05-1988,5 ft - 152 cm,55 kg,Medium,Average,UnMarried,0,Normal,Malayalam,Alappuzha,A+ve,Relatives,Christian,Latin Catholic,makam,shudhajathakam,High School,MBBS,Student,Doctor,Idukki,Idukki,Idukki,Idukki,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565637.0,9995050002.0,DR.ANNIE BASENT,uncle,Wilson Ks,MBBS,Rtd Clerk,,Rose Janet Kr,MBBS,Rtd Homeo Pharmacist,,1,1,0,0,Joint family,Moderate,MiddleClass,bike,Eggetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,155 cm,170 cm,Medium,Average,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,makam,shudhajathakam,MBBS,Rtd Clerk,,Bahamas,tamilnadu,Kasaragod,orthodox familyand lovable ,"doctor ,simple &open .."
SAREENA PEREIRA,defpass123,EKM500015@email.com,user,free,0,,EKM500015,male,37 /09-11-1984,5 ft - 152 cm,60 kg,Medium,Average,Divorcee,0,Normal,Malayalam,Elamakkara,O+ve,Self,Christian,Latin Catholic,moolam,chovadosham,Doctorate,B.Sc Nursing,Other,Staff Nurse,Not Mentioned,Australia,Not Mentioned,Australia,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565631.0,9995050003.0,SAREENA PEREIRA,brother,Walter Pereira,B.Sc Nursing,Rtd. Business Men,,Thelma Pereira,B.Sc Nursing,Rtd. Govt. Employee,,0,0,2,2,Nuclear family,Liberal,MiddleClass,"house,car",Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,160 cm,165 cm,Medium,Average,Divorcee,Normal,MiddleClass,Christian,Latin Catholic,moolam,chovadosham,B.Sc Nursing,Rtd. Business Men,,Bahrain,kerala,ERNAKULAM,"simple family,goodlooking girl",-
DR. JANE MATHEW,defpass123,EKM500016@email.com,user,free,0,,EKM500016,Female,34 /11-09-1987,5 ft 3 in - 160 cm,Not Mentioned,Medium,Average,UnMarried,0,Normal,Malayalam,Thrissur,A+ve,Parents,Christian,Latin Catholic,uthradam,shudhajathakam,Masters,MBBS,Abroad,Doctor,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565632.0,9995050004.0,DR. JANE MATHEW,sister,E P Mathew,MBBS,"Retired Chief Manager, Sbi",,V A Mariama (Late),MBBS,Bank Official (Late),,1,1,0,0,Joint family,Moderate,MiddleClass,bike,Non Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,160 cm,170 cm,Medium,Average,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,uthradam,shudhajathakam,MBBS,"Retired Chief Manager, Sbi",9 lakhs-10 lakhs Indian Rupee,Bangladesh,tamilnadu,Thiruvananthapuram,orthodox familyand lovable ,"Working in a private Medical College in Thrissur. Born in Baroda (Gujarat). Schooling in St Teresa's Ernakulam and Holy Family, Thrissur. MBBS at Christian Medical College, Ludhiana and MD from St John's Medical College, Bengaluru. Prefers vegetarian/egg diet. Likes reading, watching movies, listening to music, travelling."
DAISY AUGUSTINE ,defpass123,EKM500017@email.com,user,free,0,,EKM500017,male,30 /13-04-1991,5 ft 1 in - 154 cm,Not Mentioned,Moderate Fair,Slim,UnMarried,0,Normal,Malayalam,Ernakulam,NM,Relatives,Christian,Latin Catholic,thiruvonam,chovadosham,Bachelors,B.Tech,Defence,Software Engineer,Infopark,Ernakulam,Infopark,Ernakulam,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565633.0,9995050001.0,DAISY AUGUSTINE ,parent,Augustine P R,B.Tech,Naval Base Retired Officer Central Govt. Job,,Jolly,B.Tech,Retired High School Teacher,,1,1,0,0,Nuclear family,Moderate,MiddleClass,"house,car",Eggetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,165 cm,165 cm,Moderate Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,thiruvonam,chovadosham,B.Tech,Naval Base Retired Officer Central Govt. Job,2 lakhs- 3 lakhs Indian Rupee,Barbados,kerala,Kollam,"simple family,goodlooking girl","she is good looking, God fearing,loving, caring,and generous and talented"
MARIA THOMAS,defpass123,EKM500018@email.com,user,free,0,,EKM500018,Female,30 /28-04-1991,5 ft 1 in - 154 cm,45 kg,Fair,Slim,UnMarried,0,Normal,Malayalam,Trivandrum,B+ve,Parents,Christian,Latin Catholic,chothi,shudhajathakam,Diploma,Ph. D. in Systems and Control Engineering,Government,Assistant Professor ,"Department of Electrical Engineering, IIT BHU",Uttar Pradesh,"Department of Electrical Engineering, IIT BHU",Uttar Pradesh,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565634.0,9995050002.0,MARIA THOMAS,uncle,Thomas Moraes,Ph. D. in Systems and Control Engineering,Retired Chief Commercial Supervisor(Southern Railways),Retired Chief Commercial Supervisor(Southern Railways),Sherly Thomas,Ph. D. in Systems and Control Engineering,"Retired Accountant (Ssa, Trivandrum)",,1,1,1,1,Joint family,Liberal,MiddleClass,bike,Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,155 cm,170 cm,Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,chothi,shudhajathakam,Ph. D. in Systems and Control Engineering,Retired Chief Commercial Supervisor(Southern Railways),,Belarus,tamilnadu,Pathanamthitta,orthodox familyand lovable ,"Maria is a pious person. She is simple and gives importance to family values. She loves to spend quality time with family and friends and is dedicated to her cause. Completed her schooling from Holy Angels' Convent ISC school Trivandrum, B.Tech in EEE from TKM College of Engineering and M.Tech in GNC from College of Engineering Trivandrum. She obtained her Ph.D. in Systems and Control Engineering, IIT Bombay. Recently got appointment as Assistant Professor with IIT BHU. Got placed at Halcon Systems, UAE also and joining formalities are underway. Willing to relocate. Please feel free to contact for any further info.Thanks."
DR.JOSNY SELVARANCE,defpass123,EKM500019@email.com,user,free,0,,EKM500019,male,30 /19-03-1992,5 ft 3 in - 160 cm,70 kg,Fair,Average,UnMarried,0,Normal,Malayalam,Trivandrum,B+ve,Parents,Christian,Latin Catholic,makam,chovadosham,Trade School / TTC / ITI,MBBS,Homemaker,"Doctor , MOH Doctor",Not Mentioned,UAE,Not Mentioned,UAE,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565635.0,9995050003.0,DR.JOSNY SELVARANCE,brother,Selvarance Johnson,MBBS,Lecturer/Manager School Operations,Lecturer/Manager School Operations,Lucy Selvarance,MBBS,Lecturer,Lecturer,0,0,0,0,Nuclear family,Moderate,Upper Middle Class,"house,car",Non Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,165 cm,165 cm,Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,makam,chovadosham,MBBS,Lecturer/Manager School Operations,9 lakhs-10 lakhs Indian Rupee,Belgium,kerala,Alappuzha,"simple family,goodlooking girl","We have been in Dubai for the last 29 years. I am brought up in Dubai and completed my School Education from a reputed school in Dubai. I have done MBBS from Vydehi Medical College, Bangalore and worked in a Super Specialty Hospital for 3 years. Now I am working in a reputed Hospital in Sharjah."
VENEETHA FERNANDO,defpass123,EKM500020@email.com,user,free,0,,EKM500020,Female,30 /10-07-1991,5 ft 2 in - 157 cm,Not Mentioned,Moderate Fair,Slim,UnMarried,0,Normal,Malayalam,Cochin,A+ve,Parents,Christian,Latin Catholic,moolam,shudhajathakam,Higher Secondary / Plus Two,B.Tech,Not Working,Jr.Network Engineer,USA,USA,USA,USA,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565636.0,9995050004.0,VENEETHA FERNANDO,sister,Fernando Joseph,B.Tech,Business,Business,Maria Jackline (Kumary),B.Tech,House Wife,House Wife,1,1,0,0,Joint family,Moderate,Upper Middle Class,bike,Eggetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,168 cm,170 cm,Moderate Fair,Slim,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,moolam,shudhajathakam,B.Tech,Business,,Belize,tamilnadu,Kottayam,orthodox familyand lovable ,"Born and brought up in Kerala, Schooling was completed with Assisi Vidyaniketan Public School Kakkanad, Kochi, Engineering done with Karunya Instute of Techonology and Science, Coimbatore, first year of employment was with Infosys in Mysore. Since last 6 years, working as IT professional in Florida USA. At Present working with an establishment under the State Government of Florida as Jr. Net work Engineer."
